tweet_id,favorite_count,retweet_count
666020888022790149,2328,439
666029285002620928,117,41
666033412701032449,105,38
666044226329800704,254,119
666049248165822465,92,37
666050758794694657,119,51
666051853826850816,1072,734
666055525042405380,387,204
666057090499244032,260,116
666058600524156928,103,49
666063827256086533,419,185
666071193221509120,133,52
666073100786774016,278,138
666082916733198337,99,41
666094000022159362,148,65
666099513787052032,139,56
666102155909144576,68,11
666104133288665088,12998,5670
666268910803644416,90,32
666273097616637952,155,69
666287406224695296,128,57
666293911632134144,445,304
666337882303524864,171,80
666345417576210432,258,128
666353288456101888,189,62
666362758909284353,682,486
666373753744588802,166,75
666396247373291520,151,72
666407126856765440,98,30
666411507551481857,384,280
666418789513326592,109,39
666421158376562688,286,95
666428276349472768,145,67
666430724426358785,285,171
666435652385423360,143,44
666437273139982337,108,41
666447344410484738,93,19
666454714377183233,459,189
666644823164719104,215,73
666649482315059201,1010,556
666691418707132416,167,43
666701168228331520,386,193
666739327293083650,212,60
666776908487630848,314,152
666781792255496192,347,171
666786068205871104,678,429
666804364988780544,210,79
666817836334096384,461,224
666826780179869698,231,81
666835007768551424,189,70
666837028449972224,732,488
666983947667116034,2323,872
666996132027977728,220,80
667012601033924608,408,195
667044094246576128,171,44
667062181243039745,199,47
667065535570550784,150,40
667073648344346624,364,106
667090893657276420,301,111
667119796878725120,298,118
667138269671505920,4133,1953
667152164079423490,43476,15098
667160273090932737,230,55
667165590075940865,2446,1015
667171260800061440,198,73
667174963120574464,225,70
667176164155375616,551,407
667177989038297088,175,50
667182792070062081,12973,5480
667188689915760640,666,349
667192066997374976,343,88
667200525029539841,567,236
667211855547486208,446,219
667369227918143488,335,150
667393430834667520,177,51
667405339315146752,426,202
667435689202614272,279,79
667437278097252352,411,213
667443425659232256,704,519
667453023279554560,288,80
667455448082227200,176,56
667470559035432960,231,88
667491009379606528,471,200
667495797102141441,477,239
667502640335572993,499,201
667509364010450944,6246,1915
667517642048163840,340,175
667524857454854144,1549,1009
667530908589760512,429,218
667534815156183040,741,472
667538891197542400,185,59
667544320556335104,785,479
667546741521195010,312,115
667549055577362432,5264,2027
667550882905632768,0,26
667550904950915073,0,29
667724302356258817,440,284
667728196545200128,339,135
667766675769573376,391,198
667773195014021121,212,47
667782464991965184,376,222
667793409583771648,634,302
667801013445750784,293,84
667806454573760512,964,445
667832474953625600,266,57
667861340749471744,227,74
667866724293877760,2791,932
667873844930215936,571,367
667878741721415682,360,106
667885044254572545,752,420
667886921285246976,1707,962
667902449697558528,784,348
667911425562669056,446,261
667915453470232577,192,50
667924896115245057,272,98
667937095915278337,1142,721
668113020489474048,613,214
668142349051129856,529,254
668154635664932864,457,283
668171859951755264,443,168
668190681446379520,595,180
668204964695683073,510,177
668221241640230912,466,178
668226093875376128,264,90
668237644992782336,5648,2540
668248472370458624,870,422
668256321989451776,1186,539
668268907921326080,503,211
668274247790391296,751,210
668286279830867968,458,124
668291999406125056,221,29
668297328638447616,572,269
668466899341221888,807,462
668480044826800133,415,131
668484198282485761,382,214
668496999348633600,372,118
668507509523615744,297,94
668528771708952576,424,198
668537837512433665,233,63
668542336805281792,414,190
668544745690562560,466,203
668567822092664832,218,49
668614819948453888,564,286
668620235289837568,187,36
